# KE:   0.23 MeV, L:  2 
# V0: -40.51 MeV, R0:   7.56 fm, a0:   0.71 fm
# start: 0.00010 fm, dr:0.100, end:  200.00010 fm, nStep: 2000 
#           r          Pot  (Pot+Cent.)            u        du/dr            R        dR/dr           KE
#----------
    26.100100    -0.000000     0.182508  1499.777829   -44.826352    57.683541    -3.942673     0.230000
    26.200100    -0.000000     0.181118  1495.277856   -45.174607    57.290120    -3.925837     0.230000
    26.300100    -0.000000     0.179743  1490.742611   -45.531773    56.898356    -3.909532     0.230000
    26.400100    -0.000000     0.178384  1486.171210   -45.897669    56.508196    -3.893744     0.230000
    26.500100    -0.000000     0.177040  1481.562792   -46.272114    56.119590    -3.878459     0.230000
    26.600100    -0.000000     0.175712  1476.916509   -46.654930    55.732488    -3.863662     0.230000
    26.700100    -0.000000     0.174398  1472.231533   -47.045940    55.346842    -3.849338     0.230000
    26.800100    -0.000000     0.173099  1467.507053   -47.444970    54.962605    -3.835475     0.230000
    26.900100    -0.000000     0.171814  1462.742277   -47.851845    54.579732    -3.822060     0.230000
    27.000100    -0.000000     0.170544  1457.936428   -48.266395    54.198179    -3.809078     0.230000
    27.100100    -0.000000     0.169288  1453.088748   -48.688448    53.817902    -3.796517     0.230000
    27.200100    -0.000000     0.168045  1448.198494   -49.117835    53.438862    -3.784366     0.230000
    27.300100    -0.000000     0.166816  1443.264942   -49.554390    53.061016    -3.772611     0.230000
    27.400100    -0.000000     0.165601  1438.287383   -49.997946    52.684327    -3.761242     0.230000
    27.500100    -0.000000     0.164399  1433.265125   -50.448339    52.308755    -3.750245     0.230000
    27.600100    -0.000000     0.163210  1428.197493   -50.905404    51.934265    -3.739611     0.230000
    27.700100    -0.000000     0.162033  1423.083827   -51.368980    51.560821    -3.729327     0.230000
    27.800100    -0.000000     0.160870  1417.923485   -51.838906    51.188389    -3.719383     0.230000
    27.900100    -0.000000     0.159719  1412.715840   -52.315022    50.816934    -3.709769     0.230000
    28.000100    -0.000000     0.158580  1407.460280   -52.797170    50.446424    -3.700474     0.230000
    28.100100    -0.000000     0.157453  1402.156210   -53.285192    50.076829    -3.691488     0.230000
    28.200100    -0.000000     0.156338  1396.803051   -53.778931    49.708117    -3.682800     0.230000
    28.300100    -0.000000     0.155236  1391.400238   -54.278233    49.340259    -3.674402     0.230000
    28.400100    -0.000000     0.154144  1385.947224   -54.782943    48.973227    -3.666283     0.230000
