z,0,1,2,3,4,5,6,7,8,9,10,11
-331.000000,8.521929,7.798141,6.889651,6.290670,5.834924,5.501474,5.114461,4.407448,4.290836,3.413443,3.255369,2.462446
-330.000000,8.539015,7.815245,6.906795,6.307862,5.852141,5.518719,5.131737,4.424835,4.308268,3.431101,3.273101,2.480789
-329.000000,8.556101,7.832349,6.923939,6.325053,5.869358,5.535964,5.149012,4.442221,4.325664,3.448760,3.290833,2.499045
-328.000000,8.573187,7.849453,6.941083,6.342244,5.886575,5.553210,5.166288,4.459608,4.343049,3.466418,3.308544,2.517301
-327.000000,8.590273,7.866557,6.958228,6.359435,5.903792,5.570455,5.183564,4.476995,4.360434,3.484031,3.326198,2.535558
-326.000000,8.607359,7.883661,6.975372,6.376603,5.921009,5.587700,5.200839,4.494381,4.377820,3.501620,3.343853,2.553814
-325.000000,8.624445,7.900766,6.992516,6.393769,5.938226,5.604946,5.218115,4.511755,4.395205,3.519209,3.361508,2.571961
-324.000000,8.641516,7.917870,7.009660,6.410935,5.955443,5.622191,5.235391,4.529099,4.412591,3.536798,3.379163,2.590079
-323.000000,8.658585,7.934974,7.026804,6.428101,5.972638,5.639410,5.252667,4.546443,4.429976,3.554387,3.396817,2.608196
-322.000000,8.675654,7.952078,7.043948,6.445267,5.989828,5.656626,5.269942,4.563788,4.447362,3.571976,3.414472,2.626314
-321.000000,8.692723,7.969182,7.061092,6.462433,6.007018,5.673842,5.287208,4.581132,4.464743,3.589565,3.432080,2.644431
-320.000000,8.709792,7.986286,7.078235,6.479599,6.024208,5.691057,5.304451,4.598476,4.482086,3.607111,3.449665,2.662447
-319.000000,8.726862,8.003389,7.095358,6.496765,6.041397,5.708273,5.321695,4.615820,4.499429,3.624637,3.467251,2.680442
-318.000000,8.743931,8.020474,7.112481,6.513931,6.058587,5.725489,5.338938,4.633165,4.516773,3.642164,3.484837,2.698438
-317.000000,8.761000,8.037560,7.129604,6.531097,6.075777,5.742704,5.356182,4.650509,4.534116,3.659691,3.502423,2.716434
-316.000000,8.778069,8.054646,7.146726,6.548263,6.092967,5.759920,5.373425,4.667847,4.551459,3.677218,3.520009,2.734430
-315.000000,8.795139,8.071732,7.163849,6.565429,6.110156,5.777136,5.390668,4.685153,4.568802,3.694745,3.537594,2.752360
-314.000000,8.812208,8.088818,7.180972,6.582593,6.127346,5.794351,5.407912,4.702459,4.586146,3.712272,3.555134,2.770249
-313.000000,8.829277,8.105904,7.198095,6.599736,6.144536,5.811567,5.425155,4.719765,4.603489,3.729778,3.572658,2.788138
-312.000000,8.846346,8.122989,7.215218,6.616879,6.161726,5.828770,5.442399,4.737071,4.620832,3.747249,3.590182,2.806026
-311.000000,8.863415,8.140075,7.232340,6.634022,6.178898,5.845959,5.459642,4.754377,4.638139,3.764720,3.607706,2.823915
-310.000000,8.880485,8.157161,7.249463,6.651165,6.196063,5.863148,5.476870,4.771683,4.655444,3.782191,3.625230,2.841795
-309.000000,8.897554,8.174247,7.266586,6.668308,6.213227,5.880336,5.494084,4.788989,4.672749,3.799662,3.642754,2.859589
-308.000000,8.914623,8.191333,7.283709,6.685451,6.230392,5.897525,5.511298,4.806295,4.690054,3.817133,3.660278,2.877383
-307.000000,8.931681,8.208418,7.300831,6.702594,6.247557,5.914713,5.528512,4.823601,4.707358,3.834604,3.677777,2.895177
-306.000000,8.948735,8.225504,7.317954,6.719737,6.264722,5.931902,5.545726,4.840888,4.724663,3.852075,3.695245,2.912971
-305.000000,8.965788,8.242590,7.335063,6.736880,6.281887,5.949090,5.562940,4.858159,4.741968,3.869513,3.712714,2.930765
-304.000000,8.982842,8.259676,7.352166,6.754023,6.299051,5.966279,5.580154,4.875430,4.759273,3.886934,3.730182,2.948536
-303.000000,8.999895,8.276762,7.369269,6.771165,6.316216,5.983467,5.597368,4.892701,4.776578,3.904354,3.747651,2.966246
-302.000000,9.016949,8.293832,7.386373,6.788308,6.333381,6.000656,5.614582,4.909972,4.793871,3.921775,3.765119,2.983956
-301.000000,9.034003,8.310901,7.403476,6.805451,6.350546,6.017845,5.631796,4.927243,4.811141,3.939196,3.782588,3.001666
-300.000000,9.051056,8.327970,7.420579,6.822581,6.367710,6.035022,5.649010,4.944514,4.828411,3.956617,3.800056,3.019376
-299.000000,9.068110,8.345039,7.437682,6.839703,6.384875,6.052186,5.666218,4.961785,4.845681,3.974038,3.817486,3.037087
-298.000000,9.085163,8.362108,7.454785,6.856825,6.402017,6.069349,5.683405,4.979056,4.862951,3.991458,3.834904,3.054785
-297.000000,9.102217,8.379177,7.471888,6.873947,6.419159,6.086513,5.700592,4.996327,4.880222,4.008853,3.852323,3.072421
-296.000000,9.119271,8.396246,7.488991,6.891068,6.436301,6.103677,5.717779,5.013585,4.897492,4.026229,3.869741,3.090056
-295.000000,9.136324,8.413315,7.506095,6.908190,6.453443,6.120841,5.734966,5.030824,4.914762,4.043604,3.887160,3.107691
-294.000000,9.153378,8.430384,7.523198,6.925312,6.470585,6.138004,5.752153,5.048063,4.932032,4.060979,3.904578,3.125327
-293.000000,9.170431,8.447453,7.540301,6.942434,6.487727,6.155168,5.769341,5.065303,4.949302,4.078355,3.921997,3.142962
-292.000000,9.187485,8.464522,7.557404,6.959555,6.504868,6.172332,5.786528,5.082542,4.966563,4.095730,3.939415,3.160598
-291.000000,9.204538,8.481591,7.574507,6.976677,6.522010,6.189496,5.803715,5.099781,4.983802,4.113106,3.956801,3.178187
-290.000000,9.221592,8.498660,7.591599,6.993799,6.539152,6.206659,5.820902,5.117020,5.001040,4.130481,3.974174,3.195755
-289.000000,9.238637,8.515729,7.608684,7.010921,6.556294,6.223823,5.838089,5.134260,5.018279,4.147853,3.991548,3.213324
-288.000000,9.255676,8.532798,7.625769,7.028043,6.573436,6.240987,5.855276,5.151499,5.035517,4.165188,4.008921,3.230892
-287.000000,9.272715,8.549867,7.642854,7.045164,6.590578,6.258131,5.872455,5.168738,5.052756,4.182522,4.026295,3.248461
-286.000000,9.289755,8.566936,7.659939,7.062277,6.607720,6.275272,5.889618,5.185978,5.069994,4.199856,4.043668,3.266029
-285.000000,9.306794,8.583990,7.677024,7.079379,6.624848,6.292413,5.906780,5.203193,5.087233,4.217191,4.061041,3.283598
-284.000000,9.323833,8.601043,7.694109,7.096482,6.641969,6.309554,5.923943,5.220403,5.104472,4.234525,4.078415,3.301112
